Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Hindustan Unilev...,4.3,4200,Public,"Mumbai,Maharashtra + 343 more",10k-50k Employees (India),89
Bajaj Allianz Li...,4.2,3600,Private,Pune + 419 more,10k-50k Employees (India),21
ITC,3.9,6800,Public,"Kolkata,West Bengal + 220 more",10k-50k Employees (India),47
Ujjivan Small Fi...,4.1,3600,Public,"Bangalore/Bengaluru,Karnataka + 377 more",10k-50k Employees (India),5
OPPO,4.0,3700,Public,"Dongguan,Guangdong + 307 more",10k-50k Employees (India),18
One97 Communicat...,3.7,3400,unknown,Noida + 227 more,unknown,unknown
Shapoorji Pallon...,4.3,6300,Private,"Mumbai,Maharashtra + 133 more",5k-10k Employees (India),157
Mindtree,4.1,3400,Public,"Bangalore/Bengaluru,Karnataka + 24 more",10k-50k Employees (India),23
KPMG,3.8,3500,Partnership,New York + 49 more,10k-50k Employees (India),35
IIFL,3.9,3400,Public,"Mumbai,Maharashtra + 448 more",10k-50k Employees (India),27
JP Morgan Chase,4.2,3400,Private,"New York,New York + 20 more",10k-50k Employees (India),22
Ashok Leyland,4.1,3400,Public,"Chennai,Tamil Nadu + 183 more",10k-50k Employees (India),74
Shriram Transpor...,4.2,3700,Public,"Mumbai,Maharashtra + 645 more",10k-50k Employees (India),43
Mahindra & Mahin...,4.3,4800,Public,"Mumbai,Maharashtra + 548 more",10k-50k Employees (India),31
Sun Pharmaceutic...,4.1,3800,Public,Mumbai + 141 more,10k-50k Employees (India),39
Intelenet Global...,3.7,3300,Private,"Mumbai,Maharashtra + 57 more",10k-50k Employees (India),22
Aurobindo Pharma,4.1,3500,Public,"Hyderabad/Secunderabad,Telangana + 51 more",10k-50k Employees (India),36
Vivo,4.1,3200,Private,"Gurgaon/Gurugram,Haryana + 322 more",5k-10k Employees (India),13
Hewlett-Packard ...,4.3,3500,Private,"Houston,Texas + 86 more",10k-50k Employees (India),7
Reliance Communi...,4.0,4000,Public,"Navi Mumbai,Maharashtra + 363 more",10k-50k Employees (India),20
Apollo Hospitals,4.1,5100,Public,"San Francisco,California + 160 more",50k-1 Lakh Employees (India),39
Wells Fargo Indi...,4.2,3200,Public,"San Francisco,California + 10 more",10k-50k Employees (India),170
Fidelity Nationa...,4.1,3300,Private,"Jacksonville,Florida + 32 more",10k-50k Employees (India),54
Future Group,4.2,10000,Private,"Mumbai,Maharashtra + 196 more",50k-1 Lakh Employees (India),9
Siemens,4.2,3200,Public,"Munich,Bavaria + 104 more",10k-50k Employees (India),175
Nokia,4.2,4400,Private,"Espoo,Southern Finland + 166 more",10k-50k Employees (India),157
Bandhan Bank,3.9,3200,Public,"Kolkata,West Bengal + 507 more",50k-1 Lakh Employees (India),21
