Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Markets and Mark...,3.4,232,Private,"Pune,Maharashtra + 3 more",501-1k Employees (India),12
Keysight Technol...,4.2,232,Private,"Santa Rosa,California + 7 more",1k-5k Employees (India),8
Sotc Travel Serv...,3.9,232,Private,Mumbai + 32 more,1k-5k Employees (India),73
National Petrole...,4.1,327,unknown,Abu Dhabi + 19 more,501-1k Employees (India),49
Boeing,4.0,232,Public,Chicago + 5 more,5k-10k Employees (India),106
Prem Henna,3.6,231,Private,Indore + 51 more,201-500 Employees (India),92
Seoyon E-hwa Aut...,4.0,231,Private,Seoul + 12 more,51-200 Employees (India),50
Alpla,4.2,231,Private,"Hard,Vorarlberg + 9 more",501-1k Employees (India),67
Appsierra,4.9,231,Private,"Noida,Uttar Pradesh + 6 more",51-200 Employees (India),7
Dana India,4.1,231,Private,"Pune,Maharashtra + 12 more",1k-5k Employees (India),21
Osource India,3.4,231,Private,"Noida,Uttar Pradesh + 18 more",201-500 Employees (India),18
Piramal Pharma,4.1,231,Public,"Lexington,Kentucky + 18 more",1k-5k Employees (India),34
VDA Infosolution...,3.7,230,Private,"Mumbai,Maharashtra + 20 more",201-500 Employees (India),12
Sheela Foam,4.3,230,Public,"Delhi/NCR,Delhi + 54 more",1k-5k Employees (India),51
Win Medicare,4.1,230,Private,"Delhi/NCR,Delhi + 40 more",501-1k Employees (India),17
P&O Cruises,4.5,230,Private,Southampton + 7 more,11-50 Employees (India),185
DFM Foods,4.3,230,Public,"Delhi/NCR,New Delhi + 44 more",501-1k Employees (India),39
Mrs Bector's Foo...,4.2,230,Public,Gurgaon + 35 more,1k-5k Employees (India),44
Texmaco Rail and...,3.9,230,Private,"Kolkata,West Bengal + 25 more",1k-5k Employees (India),24
IMSI,3.2,230,Private,"Dehradun,Uttarakhand + 36 more",1k-5k Employees (India),36
Sona Comstar,4.2,230,Public,Gurgaon + 7 more,1k-5k Employees (India),27
Cyfuture,3.7,230,unknown,Noida + 22 more,1k-5k Employees (India),21
Xdbs,3.4,230,Private,"Redwood City,San Francisco + 2 more",1k-5k Employees (India),10
Merck,4.1,495,Private,"Rahway,New Jersey + 34 more",1k-5k Employees (India),131
Aker Solutions,3.9,229,Private,"Fornebu,Akershus + 4 more",1k-5k Employees (India),181
Galaxy Surfactan...,3.1,229,Public,Mumbai + 8 more,1k-5k Employees (India),42
SunTec Web Servi...,3.3,229,Private,New Delhi + 3 more,1k-5k Employees (India),23
M3M India,3.7,229,Private,"Gurgaon,Haryana + 3 more",201-500 Employees (India),37
smartData Enterp...,3.7,229,Private,White Plains + 7 more,501-1k Employees (India),23
GGS Information ...,3.6,229,Private,"York,Pennsylvania + 5 more",501-1k Employees (India),34
GGS Information ...,3.6,229,Private,"York,Pennsylvania + 5 more",501-1k Employees (India),34
Galaxy Surfactan...,3.1,229,Public,Mumbai + 8 more,1k-5k Employees (India),42
National Contrac...,4.2,229,Private,Al-Khobar + 17 more,501-1k Employees (India),55
Maharashtra Seam...,3.6,229,Public,"Gurgaon/Gurugram,Haryana + 12 more",1k-5k Employees (India),34
Tata Marcopolo M...,3.6,229,Public,"Pune,Maharashtra + 10 more",50k-1 Lakh Employees (India),77
Rosmerta Technol...,3.0,228,Private,Gurgaon + 46 more,1k-5k Employees (India),16
Dainik Jagran,3.7,228,Public,"Noida,Uttar Pradesh + 51 more",201-500 Employees (India),80
Methodex,3.5,228,Private,"Delhi/NCR,Delhi + 41 more",1k-5k Employees (India),62
Hanon Systems,4.0,228,Private,Daejeon + 10 more,501-1k Employees (India),36
Axiscades,3.3,228,Public,"Bangalore/Bengaluru,Karnataka + 7 more",1k-5k Employees (India),32
Virtual Employee,3.7,228,Private,"Noida,Uttar Pradesh + 9 more",1k-5k Employees (India),15
Katerra,3.7,228,Private,"Menlo Park,California + 9 more",501-1k Employees (India),7
SNS College of T...,4.9,228,unknown,unknown,501-1k Employees (India),unknown
Five-star Busine...,4.4,228,Public,"Chennai,Tamil Nadu + 98 more",1k-5k Employees (India),38
MOURI Tech,4.0,228,Private,"Dallas,Texas + 6 more",1k-5k Employees (India),17
Allcargo Logisti...,4.1,227,Public,"Mumbai,Maharashtra + 32 more",1k-5k Employees (India),29
GMR Hyderabad In...,4.0,227,Private,"Delhi/NCR,Delhi + 10 more",201-500 Employees (India),22
Dusters Total So...,4.0,227,Private,"Bangalore/Bengaluru,Karnataka + 35 more",501-1k Employees (India),28
Insolutions Glob...,3.8,227,Private,Mumbai + 14 more,1k-5k Employees (India),18
Deenanath Manges...,4.3,227,Private,"Pune,Maharashtra + 7 more",11-50 Employees (India),21
Ramco Industries,4.3,227,Public,"Chennai,Tamil Nadu + 38 more",1k-5k Employees (India),30
SHYAM METALICS A...,3.7,227,Private,"Kolkata,West Bengal + 14 more",1k-5k Employees (India),27
Dhani Loans and ...,3.4,227,unknown,"New Delhi,Delhi + 61 more",1k-5k Employees (India),unknown
Shriram Group,4.1,6900,Private,"Chennai,Tamil Nadu + 98 more",50k-1 Lakh Employees (India),48
South Indian Ban...,3.7,226,Public,"Thrissur/Trichur,Kerala + 46 more",1k-5k Employees (India),93
Venkateshwara Ha...,3.7,226,Private,"Pune,Maharashtra + 29 more",201-500 Employees (India),51
Unitech,4.1,226,Public,"Gurgaon/Gurugram,Haryana + 19 more",1k-5k Employees (India),51
Celebi NAS Airpo...,4.3,226,Private,"Mumbai,Maharashtra + 7 more",201-500 Employees (India),14
Ventura Securiti...,4.0,226,Public,Thane + 36 more,1k-5k Employees (India),28
Enco Engineers C...,3.8,226,Private,"Gurgaon/Gurugram,Haryana + 7 more",51-200 Employees (India),39
Cadbury,4.5,226,Private,London + 55 more,1k-5k Employees (India),198
Suroj Buildcon,4.1,226,Private,"Pune,Maharashtra + 21 more",1k-5k Employees (India),9
Sheenlac Paints,3.6,226,Public,"Chennai,Tamil Nadu + 31 more",501-1k Employees (India),60
Gammon Engineers...,4.0,226,unknown,Mumbai + 31 more,201-500 Employees (India),100
MSD Pharmaceutic...,3.9,226,Private,"Gurgaon/Gurugram,Haryana + 41 more",1k-5k Employees (India),57
Apex Laboratorie...,4.1,225,Private,Chennai + 36 more,1k-5k Employees (India),44
Wipro Digital,3.8,225,Private,"Brooklyn,New York + 13 more",1k-5k Employees (India),7
Kolte Patil Deve...,4.1,225,Public,"Pune,Maharashtra + 5 more",1k-5k Employees (India),31
Navin Fluorine I...,3.9,225,Public,"Mumbai,Maharashtra + 7 more",501-1k Employees (India),55
Gulf Oil Lubrica...,4.2,225,Public,"Mumbai,Maharashtra + 46 more",501-1k Employees (India),29
Cotiviti,4.1,225,Private,South Jordan,1k-5k Employees (India),43
Hafele,4.3,225,Private,Nagold + 28 more,1k-5k Employees (India),99
Eisai Pharmaceut...,4.4,225,Public,"Tokyo,Tokyo-to + 11 more",201-500 Employees (India),18
Easyday Club,4.4,225,unknown,"Mumbai,Maharashtra + 64 more",1-10 Employees (India),14
TVS Eurogrip,3.6,225,Public,Madurai + 33 more,1k-5k Employees (India),40
Prem Motors,3.9,225,Private,"Gurgaon/Gurugram,Haryana + 11 more",1k-5k Employees (India),32
NICE,4.0,256,Public,"Pune,Maharashtra + 12 more",1k-5k Employees (India),36
ELGI Equipments,3.9,242,Public,"Coimbatore,Tamil Nadu + 20 more",1k-5k Employees (India),62
Serum Institute ...,4.2,224,Private,Pune + 14 more,1k-5k Employees (India),56
Techno Electric ...,4.0,224,Public,"Kolkata,West Bengal + 37 more",201-500 Employees (India),59
Kalyani Technofo...,4.1,224,Private,"Pune,Maharashtra + 9 more",201-500 Employees (India),43
L&T Realty,4.5,224,unknown,Mumbai + 8 more,201-500 Employees (India),unknown
Kyungshin Indust...,3.5,224,unknown,Chennai + 6 more,201-500 Employees (India),25
Hero Cycles,3.8,224,Public,"Gurgaon/Gurugram,Haryana + 32 more",1k-5k Employees (India),66
Uplers,4.5,224,Private,"Ahmedabad,Gujarat + 5 more",1k-5k Employees (India),10
Honeywell Intern...,3.9,1300,unknown,Charlotte + 17 more,10k-50k Employees (India),116
Integra Software...,3.9,223,Private,Pondicherry + 6 more,1k-5k Employees (India),28
NKG Infrastructu...,3.8,223,Private,"Delhi/NCR,Delhi + 29 more",1k-5k Employees (India),33
Mitsuba Sical,3.6,223,Public,Michigan + 13 more,201-500 Employees (India),25
Quintessence Bus...,4.1,223,Private,"Dallas,Texas",501-1k Employees (India),11
Ralson India,3.8,223,Public,"Delhi/NCR,Delhi + 32 more",501-1k Employees (India),48
Anthem Bioscienc...,4.0,223,Private,"Bangalore/Bengaluru,Karnataka + 7 more",1k-5k Employees (India),16
Ingersoll Rand,4.3,251,Public,"Dublin,Dublin + 20 more",1k-5k Employees (India),50
Pratibha Industr...,4.2,222,Public,"Mumbai,Maharashtra + 18 more",501-1k Employees (India),40
Senco Gold,4.1,222,Private,"Kolkata,West Bengal + 44 more",1k-5k Employees (India),28
Brigade Group,4.2,222,Public,"Bangalore/Bengaluru,Karnataka + 6 more",1k-5k Employees (India),36
ANZ Support Serv...,4.6,222,unknown,Bengaluru/Bangalore + 2 more,unknown,unknown
Hsbc Technology,4.1,222,Private,London + 6 more,10k-50k Employees (India),157
Angelique Intern...,4.4,222,Private,"Delhi/NCR,New Delhi + 12 more",501-1k Employees (India),26
Toyoda Gosei Min...,4.1,222,Private,Aichi + 13 more,51-200 Employees (India),14
Roca Bathroom Pr...,4.0,222,Private,Municipality Of GavÃ + 38 more,1k-5k Employees (India),16
Tata Steel Utili...,3.9,222,unknown,Jamshedpur + 11 more,unknown,unknown
Welspun Corp,4.0,222,unknown,Mumbai + 15 more,5k-10k Employees (India),37
360 Realtors,3.7,222,LLP,"Gurgaon/Gurugram,Haryana + 21 more",501-1k Employees (India),8
Licious,4.1,222,Private,"Bangalore,Karnataka + 20 more",1k-5k Employees (India),7
Pranav Vikas Ind...,3.7,222,unknown,"Delhi/NCR,Delhi + 6 more",201-500 Employees (India),35
Magic Bus India ...,4.0,222,Private,"Mumbai,Maharashtra + 37 more",1k-5k Employees (India),23
Sapphire Foods I...,3.8,222,Private,"Mumbai,Maharashtra + 31 more",5k-10k Employees (India),7
Caratlane Tradin...,4.4,222,Private,"Chennai,Tamil Nadu + 21 more",501-1k Employees (India),14
Yum!,4.1,1800,Private,"Colonel Sanders Lane,Louisville + 25 more",501-1k Employees (India),25
SUEZ Environneme...,4.1,419,Private,"Paris,Ile De France + 28 more",1k-5k Employees (India),25
Netafim Irrigati...,4.2,259,Private,"Vadodara/Baroda,Gujarat + 46 more",1k-5k Employees (India),57
Agro Tech Foods,4.3,252,Public,"Gurgaon/Gurugram,Haryana + 38 more",501-1k Employees (India),36
eTeam,3.5,221,Private,"South Plainfield,New Jersey + 13 more",501-1k Employees (India),23
Country Inns & S...,3.8,221,Private,"Minnetonka,Minnesota + 23 more",11-50 Employees (India),37
Bharat Oman Refi...,3.7,221,Public,"Bina,Madhya Pradesh + 17 more",501-1k Employees (India),11
Dineshchandra R ...,4.0,221,Private,"Ahmedabad,Gujarat + 36 more",1k-5k Employees (India),50
Veritas Finance,4.3,221,Private,"Chennai,Tamil Nadu + 89 more",1k-5k Employees (India),7
CAPGEMINI INDIA...,3.7,221,unknown,Bengaluru/Bangalore + 11 more,unknown,unknown
Groupon,3.7,221,Private,"Chicago,Illinois + 7 more",1k-5k Employees (India),14
Bharat Oman Refi...,3.7,221,Public,"Bina,Madhya Pradesh + 17 more",501-1k Employees (India),11
PC Solutions,3.8,221,Private,"Delhi/NCR,Delhi + 13 more",201-500 Employees (India),34
Country Inns & S...,3.8,221,Private,"Minnetonka,Minnesota + 23 more",11-50 Employees (India),37
BPTP,4.1,221,Private,"Gurgaon/Gurugram,Haryana + 5 more",501-1k Employees (India),19
CAPGEMINI INDIA...,3.7,221,unknown,Bengaluru/Bangalore + 11 more,unknown,unknown
Chambal Fertilis...,3.9,220,Public,"Kota,Rajasthan + 35 more",1k-5k Employees (India),37
Vertiv Energy,4.1,220,Private,"Columbus,Ohio + 27 more",1k-5k Employees (India),29
Kuehne + Nagel,4.3,220,Private,"Schindellegi,Feusisberg + 25 more",1k-5k Employees (India),132
Yardi Systems,4.1,220,Private,Santa Barbara + 1 more,1k-5k Employees (India),38
MetroTelworks,3.9,220,Private,Ahmedabad + 29 more,51-200 Employees (India),18
Bharat Bijlee,4.1,220,Public,"Mumbai,Maharashtra + 16 more",501-1k Employees (India),76
DEN Networks,3.7,220,Public,"Delhi,NCT + 26 more",1k-5k Employees (India),15
TCG Lifesciences,4.0,220,Public,"Kolkata,West Bengal + 6 more",1k-5k Employees (India),21
India Glycols,4.0,220,Public,"Noida,Uttar Pradesh + 12 more",1k-5k Employees (India),39
Omkar Realtors a...,4.3,220,Private,Mumbai + 8 more,201-500 Employees (India),19
FabHotels,3.4,220,Private,"Gurgaon,Haryana + 25 more",501-1k Employees (India),8
Syneos Health,4.2,220,Private,"Morrisville,North Carolina + 5 more",1k-5k Employees (India),38
Nature's Basket,3.9,219,Private,"Mumbai,Maharashtra + 8 more",501-1k Employees (India),17
Zolo,3.6,219,Private,Bangalore + 13 more,501-1k Employees (India),7
Hindustan Times,3.6,219,Private,"Delhi/NCR,Delhi + 37 more",1k-5k Employees (India),98
Infiniti Researc...,3.9,219,Private,London + 1 more,501-1k Employees (India),19
Coffee Day,3.5,219,Private,"Bangalore/Bengaluru,Karnataka + 34 more",1k-5k Employees (India),29
Jumio,4.2,219,Private,"Palo Alto,California + 4 more",201-500 Employees (India),12
Uniparts Group,4.0,219,Private,"Noida,Uttar Pradesh + 15 more",501-1k Employees (India),38
LEAD School,3.8,219,unknown,"Mumbai,Maharashtra + 32 more",1k-5k Employees (India),9
ReGen Powertech,3.8,218,Private,"Chennai,Tamil Nadu + 17 more",501-1k Employees (India),16
Schwing Stetter,4.1,218,Private,Herne + 33 more,1k-5k Employees (India),77
QuEST Global Eng...,3.8,218,unknown,Bengaluru/Bangalore + 8 more,unknown,unknown
Jetking Infotrai...,3.6,218,Public,"Mumbai,Maharashtra + 47 more",51-200 Employees (India),75
Fluper,3.9,218,Public,"Noida,Uttar Pradesh + 2 more",201-500 Employees (India),9
Me n Moms,3.0,217,Private,"Mumbai,Maharashtra + 35 more",201-500 Employees (India),28
Linkquest Teleco...,3.4,217,Private,"Noida,Uttar Pradesh + 34 more",501-1k Employees (India),26
TI Cycles of Ind...,4.3,217,Public,"Chennai,Tamil Nadu + 23 more",1k-5k Employees (India),73
L&T Heavy Civil ...,4.5,217,unknown,Chennai + 32 more,5k-10k Employees (India),unknown
India Nippon Ele...,4.1,217,Public,"Hosur,Tamil Nadu + 15 more",501-1k Employees (India),38
Maxxis Rubber,3.4,217,Private,"Ahmedabad,Gujarat + 11 more",51-200 Employees (India),7
Citylife Retail,3.8,217,Private,"Kolkata,West Bengal + 47 more",51-200 Employees (India),16
ASM Technologies,3.5,217,Public,"Bangalore/Bengaluru,Karnataka + 15 more",501-1k Employees (India),30
Sahyadri Hospita...,4.2,217,Private,"Pune,Maharashtra + 3 more",1k-5k Employees (India),28
Kores,4.1,216,Private,"Mumbai,Maharashtra + 26 more",1k-5k Employees (India),86
Collegedunia,3.3,216,Private,"Gurgaon/Gurugram,Haryana + 13 more",1k-5k Employees (India),8
Bharat Seats,3.7,216,Public,"Gurgaon/Gurugram,Haryana + 7 more",201-500 Employees (India),36
Cooper Corporati...,3.6,216,Private,"Pune,Maharashtra + 4 more",1k-5k Employees (India),100
HSBC Global Serv...,4.0,216,Private,London + 10 more,10k-50k Employees (India),157
Wirpo Technologi...,3.8,216,unknown,Bengaluru/Bangalore + 21 more,unknown,unknown
ITC Limited Food...,4.1,216,unknown,Kolkata + 35 more,10k-50k Employees (India),112
Eli Lilly and Co...,4.4,216,Public,"Indianapolis,Indiana + 19 more",1k-5k Employees (India),29
Amrit Cement,3.9,215,Private,"Kolkata,West Bengal + 14 more",501-1k Employees (India),14
Syndicate Bank,4.0,215,Public,"Bangalore/Bengaluru,Karnataka + 55 more",10k-50k Employees (India),97
BKT Tyres,4.2,215,Private,Mumbai + 15 more,5k-10k Employees (India),34
XL Health,4.4,215,Private,"Bangalore/Bengaluru,Karnataka + 1 more",11-50 Employees (India),25
Rolta India,3.0,215,Public,"Mumbai,Maharashtra + 10 more",501-1k Employees (India),33
Rieter,3.9,215,Private,"Khandala,Punjab + 8 more",501-1k Employees (India),27
Precision Automa...,3.8,215,Private,"Satara,Maharashtra + 6 more",1k-5k Employees (India),32
Symbiotec Pharma...,3.9,215,Private,"Indore,Madhya Pradesh + 5 more",51-200 Employees (India),28
Narayana e-Techn...,3.8,215,Private,Hyderabad + 31 more,501-1k Employees (India),10
Ircon Internatio...,4.0,215,Private,"Delhi/NCR,Delhi + 35 more",1k-5k Employees (India),46
Aculife Healthca...,3.7,215,Private,"Ahmedabad,Gujrat + 19 more",1k-5k Employees (India),8
Samsonite,4.2,215,Private,"Mumbai,Maharashtra + 38 more",201-500 Employees (India),112
Worldline Global...,3.9,215,Private,"Bezons,Val Doise + 21 more",1k-5k Employees (India),48
Ashiana Housing,4.2,215,Public,"Delhi/NCR,Delhi + 15 more",1k-5k Employees (India),43
Symbiotec Pharma...,3.9,215,Private,"Indore,Madhya Pradesh + 5 more",51-200 Employees (India),28
Precision Automa...,3.8,215,Private,"Satara,Maharashtra + 6 more",1k-5k Employees (India),32
Ircon Internatio...,4.0,215,Private,"Delhi/NCR,Delhi + 35 more",1k-5k Employees (India),46
Samsonite,4.2,215,Private,"Mumbai,Maharashtra + 38 more",201-500 Employees (India),112
Bharat Aluminium...,4.0,215,Private,"Delhi/NCR,New Delhi + 10 more",1k-5k Employees (India),57
Worldline Global...,3.9,215,Private,"Bezons,Val Doise + 21 more",1k-5k Employees (India),48
Guidehouse,4.2,215,Private,"Trivandrum/Thiruvananthapuram,Kerala + 4 more",1k-5k Employees (India),19
Varroc Engineeri...,3.9,215,unknown,Aurangabad + 13 more,1k-5k Employees (India),32
Wissen Infotech,4.3,342,Private,"Hyderabad/Secunderabad,Telangana + 7 more",1k-5k Employees (India),22
New Holland Fiat...,4.4,214,Private,"Delhi/NCR,Delhi + 31 more",501-1k Employees (India),24
El Seif Engineer...,4.3,214,Private,Riyadh + 14 more,51-200 Employees (India),47
UCO Bank,4.0,214,Public,"Kolkata,West Bengal + 67 more",5k-10k Employees (India),79
Scania,4.3,214,Private,"Södertälje,Södertälje + 20 more",201-500 Employees (India),131
Lotte India Corp...,3.9,213,Public,"Chennai,Tamil Nadu + 47 more",501-1k Employees (India),18
Ienergizer BPO S...,3.5,213,unknown,Noida + 7 more,5k-10k Employees (India),unknown
Lloyd Insulation...,3.8,213,Private,"Delhi/NCR,Delhi + 19 more",501-1k Employees (India),64
L&T Valves,3.8,213,Private,"Chennai,Tamil Nadu + 9 more",501-1k Employees (India),61
Anmol Industries,4.0,213,Public,"Kolkata,West Bengal + 31 more",501-1k Employees (India),28
Clarivate Analyt...,4.1,213,Public,"Philadelphia,Pennsylvania + 9 more",1k-5k Employees (India),6
Continental Engi...,4.1,213,Private,New Delhi + 22 more,10k-50k Employees (India),39
Runwal Group,4.0,213,unknown,"Mumbai,Maharashtra + 5 more",201-500 Employees (India),44
Harsha Engineers,4.1,212,Private,"Ahmedabad,Gujarat + 7 more",501-1k Employees (India),36
Rackspace,4.1,212,Private,"San Antonio,Texas + 8 more",1k-5k Employees (India),24
Reliance Fresh,4.4,212,Private,Mumbai + 51 more,1k-5k Employees (India),16
Kirby Building S...,3.8,212,Private,Kuwait City + 19 more,501-1k Employees (India),24
Impetus Technolo...,4.0,212,Private,Los Gatos + 14 more,1k-5k Employees (India),31
Family Health Pl...,4.2,212,Private,"Hyderabad/Secunderabad,Telangana + 20 more",1k-5k Employees (India),27
Hinduja Housing ...,4.1,212,Private,"Chennai,Tamil Nadu + 76 more",1k-5k Employees (India),7
Ramkrishna Forgi...,4.0,212,Public,"Kolkata,West Bengal + 10 more",1k-5k Employees (India),41
Mahagun India,3.0,212,Private,"Noida,Uttar Pradesh + 5 more",501-1k Employees (India),27
Securitas,4.2,211,Private,Stockholm + 23 more,10k-50k Employees (India),88
NetAmbit,3.7,211,Private,"Noida,Uttar Pradesh + 40 more",501-1k Employees (India),22
Amazon Web Servi...,4.2,211,Public,"Seattle,Washington + 23 more",10k-50k Employees (India),16
Rajsriya Automot...,3.1,211,Private,"Hosur,Tamil Nadu + 7 more",501-1k Employees (India),45
Conviction HR,4.7,211,Private,Mumbai + 8 more,501-1k Employees (India),10
Kutchina,3.8,211,Private,"Kolkata,West Bengal + 43 more",201-500 Employees (India),19
Tata Toyo Radiat...,3.4,211,unknown,"Pune,Maharashtra + 8 more",201-500 Employees (India),24
Hofincons Infote...,3.9,211,unknown,Chennai + 33 more,501-1k Employees (India),unknown
Tata BlueScope S...,3.7,211,Private,"Pune,Maharashtra + 21 more",501-1k Employees (India),20
Einfochips,3.7,211,Private,"San Jose,California + 3 more",1k-5k Employees (India),28
Cosmo Films,4.3,210,Public,"Delhi/NCR,New Delhi + 6 more",1k-5k Employees (India),41
URC Construction,3.7,210,Private,"Chennai,Tamil Nadu + 20 more",201-500 Employees (India),66
ADNOC,4.5,210,Private,"Abu Dhabi,Abu Dhabi + 6 more",1k-5k Employees (India),51
Teamware Solutio...,4.1,210,Private,"Chennai,Tamil Nadu + 9 more",501-1k Employees (India),19
S. M. Auto Engin...,3.5,210,Private,"Pune,Maharashtra + 4 more",501-1k Employees (India),46
Indo Farm Equipm...,3.5,210,Private,"Solan,Madhya Pradesh + 29 more",501-1k Employees (India),28
Myk Laticrete,3.9,210,Private,"Hyderabad/Secunderabad,Telangana + 32 more",1k-5k Employees (India),22
Tirumala Milk Pr...,4.1,210,Private,"Chennai,Tamil Nadu + 30 more",201-500 Employees (India),26
Samvardhana Moth...,3.9,3400,unknown,Noida + 22 more,5k-10k Employees (India),47
Yodlee,3.8,209,Private,"Redwood City,San Francisco + 2 more",1k-5k Employees (India),23
METRO Global Bus...,4.3,209,Public,Pune + 1 more,201-500 Employees (India),11
Cordova Publicat...,3.1,209,Private,"Delhi/NCR,New Delhi + 45 more",11-50 Employees (India),13
IOT Infrastructu...,4.3,209,Private,"Mumbai,Maharashtra + 24 more",1k-5k Employees (India),26
Religare Finvest,4.5,209,Public,"Delhi/NCR,Delhi + 33 more",1k-5k Employees (India),16
Intercontinental...,3.9,209,Private,"Delhi/NCR,New Delhi + 41 more",1k-5k Employees (India),35
KLAY Schools,4.4,209,Private,Bangalore + 16 more,1k-5k Employees (India),11
JNS Instruments,3.8,209,Public,Gurgaon + 12 more,501-1k Employees (India),21
CGI Information ...,4.2,209,unknown,Bengaluru/Bangalore + 6 more,unknown,unknown
Astra Microwave ...,4.0,209,Public,"Hyderabad/Secunderabad,Telangana + 6 more",51-200 Employees (India),31
Becton Dickinson,4.2,220,unknown,"Franklin Lakes,New Jersey + 20 more",1k-5k Employees (India),21
Electrosteel Cas...,3.9,208,Public,"Kolkata,West Bengal + 9 more",1k-5k Employees (India),67
Mjunction Servic...,3.9,208,JV,Kolkata + 18 more,501-1k Employees (India),21
Mahindra Insuran...,4.1,208,Private,Mumbai + 64 more,1k-5k Employees (India),18
Azmeel Contracti...,3.5,208,Private,Al Jubail + 7 more,1k-5k Employees (India),34
Parksons Packagi...,4.2,208,Private,"Mumbai,Maharashtra + 16 more",501-1k Employees (India),26
Aizant Drug Rese...,3.8,208,Private,"Hyderabad/Secunderabad,Telangana + 1 more",501-1k Employees (India),17
Gopaljee Dairy F...,3.8,208,Private,"Noida,Uttar Pradesh + 29 more",501-1k Employees (India),33
Henkel Adhesives...,4.4,208,Private,"Düsseldorf,North Rhine-Westphalia + 16 more",501-1k Employees (India),32
Ashapura Group O...,4.0,208,Public,"Mumbai,Maharashtra + 25 more",201-500 Employees (India),62
Bmm Ispat,3.9,208,Public,"Bangalore/Bengaluru,Karnataka + 7 more",1k-5k Employees (India),46
Zimetrics Techno...,4.8,208,unknown,"Pune,Maharashtra + 3 more",201-500 Employees (India),7
Tsys Card Tech S...,4.3,208,unknown,"Columbus,Georgia + 2 more",1k-5k Employees (India),38
Sri Aurobindo So...,3.5,208,NGO/NPO,"Pondicherry/Puducherry,Tamil Nadu + 14 more",201-500 Employees (India),62
Teradata,4.2,208,Private,"San Diego,California + 7 more",1k-5k Employees (India),43
Prime Focus,3.6,506,Public,Mumbai + 11 more,1k-5k Employees (India),25
SG Analytics,3.9,207,Private,Pune + 2 more,1k-5k Employees (India),16
Tanishq Jeweller...,4.5,207,unknown,Bengaluru + 77 more,501-1k Employees (India),28
Hitachi Consulti...,4.0,207,Private,"Dallas,Texas + 9 more",1k-5k Employees (India),22
Alicon Castalloy,3.8,207,Public,"Pune,Maharashtra + 7 more",501-1k Employees (India),32
Sri Krishna Phar...,3.9,207,Private,"Hyderabad/Secunderabad,Telangana + 4 more",201-500 Employees (India),48
HungerBox,3.9,207,Private,"Bangalore,Karnataka + 14 more",501-1k Employees (India),6
Gujarat Ambuja E...,3.8,207,Public,"Ahmedabad,Gujarat + 24 more",1k-5k Employees (India),31
L. N. Malviya In...,3.9,207,Private,"Bhopal,Madhya Pradesh + 54 more",1k-5k Employees (India),12
Reliance Jewels,4.3,207,Private,"Mumbai,Maharashtra + 64 more",201-500 Employees (India),15
Pathkind Diagnos...,4.1,207,Private,"Gurgaon/Gurugram,Haryana + 55 more",501-1k Employees (India),6
Karvy Innotech,3.2,207,Public,"Hyderabad/Secunderabad,Telangana + 33 more",51-200 Employees (India),10
Electrical Resea...,3.9,207,Private,"Vadodara/Baroda,Gujarat + 20 more",201-500 Employees (India),48
CSG Internationa...,4.2,207,Private,"Englewood,Colorado + 2 more",1k-5k Employees (India),28
PayU Payments,4.3,207,Private,Amsterdam + 11 more,1k-5k Employees (India),20
Wildcraft,4.1,207,Private,Bangalore + 33 more,1k-5k Employees (India),24
Agilent Technolo...,4.2,223,Private,"Santa Clara,California + 12 more",1k-5k Employees (India),23
Reliance Money,4.5,206,Private,"Mumbai,Maharashtra + 42 more",51-200 Employees (India),16
NeoGrowth Credit,3.8,206,Private,"Mumbai,Maharashtra + 24 more",501-1k Employees (India),9
Kellogg Brown an...,4.5,206,Public,"Houston,Texas + 19 more",51-200 Employees (India),24
Hettich,3.8,206,Private,Kirchlengern + 23 more,201-500 Employees (India),134
Indostar Capital...,4.2,206,Public,"Mumbai,Maharashtra + 98 more",501-1k Employees (India),11
Orix Auto Infras...,4.4,206,Public,"Mumbai,Maharashtra + 17 more",201-500 Employees (India),27
Zoomcar,3.8,206,Private,"Bangalore,Karnataka + 28 more",1k-5k Employees (India),10
Consulting Engin...,4.3,206,Public,"Jaipur,Rajasthan + 38 more",501-1k Employees (India),38
National Fertili...,4.2,206,Public,Noida + 22 more,1k-5k Employees (India),48
SMEC,4.3,206,Private,"North Sydney,New South Wales + 46 more",1k-5k Employees (India),52
Caretel Infotech,3.6,206,Private,"Delhi/NCR,New Delhi + 9 more",5k-10k Employees (Global),18
Himatsingka Seid...,3.8,206,Public,"Bangalore/Bengaluru,Karnataka + 6 more",1k-5k Employees (India),37
Fujiyama Power S...,3.8,206,Private,"Delhi/NCR,Delhi + 27 more",51-200 Employees (India),26
Synergy Property...,4.0,206,Private,"Bangalore/Bengaluru,Karnataka + 22 more",201-500 Employees (India),19
Waaree Energies,3.5,206,Private,"Mumbai,Maharashtra + 23 more",51-200 Employees (India),33
Gokaldas Exports,4.1,206,Public,"Bangalore/Bengaluru,Karnataka + 11 more",10k-50k Employees (India),43
Aurionpro Soluti...,4.1,205,Public,"Mumbai,Maharashtra + 25 more",1k-5k Employees (India),25
Bosch Rexroth In...,4.3,205,Private,"Lohr A. Main,Bavaria + 13 more",501-1k Employees (India),21
